| Government | EUROPEAN UNION |
| --- | --- |
| Union name: | conventional long form: European Union |
| Union name: | abbreviation: EU |
| Political structure: | a hybrid and unique intergovernmental and supranational organization |
| Capital: | name: Brussels (Belgium), Strasbourg (France), Luxembourg; note - the European Council, a gathering of the EU heads of state and/or government, and the Council of the European Union, a ministerial-level body of ten formations, meet in Brussels, Belgium, except for Council meetings held in Luxembourg in April, June, and October; the European Parliament meets in Brussels and Strasbourg, France, and has administrative offices in Luxembourg; the Court of Justice of the European Union is located in Luxembourg; and the European Central Bank is located in Frankfurt, Germany |
| Capital: | geographic coordinates: (Brussels) 50 50 N, 4 20 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Member states: | 28 countries: Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, UK; note - candidate countries: Albania, Macedonia, Montenegro, Serbia, Turkey |
| Member states: | note: there are non-European overseas countries and territories (OCTs) having special relations with Denmark, France, the Netherlands, and the UK (list is annexed to the Treaty on the Functioning of the European Union), that are associated with the Union to promote their economic and social development; member states apply to their trade with OCTs the same treatment as they accord each other pursuant to the treaties; OCT nationals are in principle EU citizens, but these countries are neither part of the EU, nor subject to the EU |
| Member states: | there are 25 OCTs (1 with Denmark [Greenland], 6 with France [French Polynesia; French Southern and Antarctic Lands; New Caledonia; Saint Barthelemy; Saint Pierre and Miquelon; Wallis and Futuna], 6 with the Netherlands [Aruba, Bonaire, Curacao, Saba, Sint Eustatius, Sint Maarten], and 12 with the UK [Anguilla; Bermuda; British Antarctic Territory; British Indian Ocean Territory; British Virgin Islands; Cayman Islands; Falkland Islands; Montserrat; Pitcairn Islands; Saint Helena, Ascension, and Tristan da Cunha; South Georgia and the South Sandwich Islands; Turks and Caicos Islands]), of which 22 have joined the Overseas Countries and Territories Association (OCTA); the 3 OCTs that are not part of OCTA (British Antarctic Territory, British Indian Ocean Territory, South Georgia and the South Sandwich Islands) do not have a permanent population |
| Independence: | 7 February 1992 (Maastricht Treaty signed establishing the European Union); 1 November 1993 (Maastricht Treaty entered into force) |
| Independence: | note: the Treaties of Rome, signed on 25 March 1957 and subsequently entered into force on 1 January 1958, created the European Economic Community and the European Atomic Energy Community; a series of subsequent treaties have been adopted to increase efficiency and transparency, to prepare for new member states, and to introduce new areas of cooperation - such as a single currency; the Treaty of Lisbon, signed on 13 December 2007 and entered into force on 1 December 2009 is the most recent of these treaties and is intended to make the EU more democratic, more efficient, and better able to address global problems with one voice |
| National holiday: | Europe Day (also known as Schuman Day) 9 May (1950); note - the day in 1950 that Robert SCHUMAN proposed the creation of what became the European Coal and Steel Community, the progenitor of today's European Union, with the aim of achieving a united Europe |
| Constitution: | history: none; note - the EU legal order relies primarily on two consolidated texts encompassing all provisions as amended from a series of past treaties: the Treaty on European Union (TEU), as modified by the Lisbon Treaty states in Article 1 that "the HIGH CONTRACTING PARTIES establish among themselves a EUROPEAN UNION ... on which the Member States confer competences to attain objectives they have in common"; Article 1 of the TEU states further that the EU is "founded on the present Treaty and on the Treaty on the Functioning of the European Union (hereinafter referred to as 'the Treaties')," both possessing the same legal value; Article 6 of the TEU provides that a separately adopted Charter of Fundamental Rights of the European Union "shall have the same legal value as the Treaties" |
| Constitution: | amendments: European Union treaties can be amended in several ways: 1) Ordinary Revision Procedure (for key amendments to the treaties); initiated by an EU country’s government, by the EU Parliament, or by the EU Commission; following adoption of the proposal by the European Council, a convention is formed of national government representatives to review the proposal and subsequently a conference of government representatives also reviews the proposal; passage requires ratification by all EU countries; 2) Simplified Revision Procedure (for amendment of EU internal policies and actions); passage of a proposal requires unanimous European Council vote following European Council consultation with the EU Commission, the European Council, and the European Parliament, and requires ratification by all EU countries; 3) Passerelle Clause (allows the alteration of a legislative procedure without a formal amendment of the treaties); 4) Flexibility Clause (permits the EU to decide in subject areas not covered by the EU treaties); note - the Treaty of Lisbon (signed in December 2007 and effective in December 2009) amended the two treaties that formed the EU - the Maastricht Treaty (1993) and the Treaty of Rome (1958), known in updated form as the Treaty on the Functioning of the European Union (2007) (2016) |
| Legal system: | unique supranational law system in which, according to an interpretive declaration of member-state governments appended to the Treaty of Lisbon, "the Treaties and the law adopted by the Union on the basis of the Treaties have primacy over the law of Member States" under conditions laid down in the case law of the Court of Justice; key principles of EU law include fundamental rights as guaranteed by the Charter of Fundamental Rights and as resulting from constitutional traditions common to the EU's states; EU law is divided into 'primary' and 'secondary' legislation; primary legislation is derived from the consolidated versions of the Treaty on European Union and the Treaty on the Functioning of the European Union) and are the basis for all EU action; secondary legislation - which includes directives, regulations, and decisions - is derived from the principles and objectives set out in the treaties |
| Suffrage: | 18 years of age (16 years in Austria); universal; voting for the European Parliament is permitted in each member state |
| Executive branch: | under the EU treaties there are three distinct institutions, each of which conducts functions that may be regarded as executive in nature: |
| Executive branch: | the European Council: brings together heads of state and government, along with the president of the European Commission, and meets at least four times a year; its aim is to provide the impetus for the development of the Union and to issue general policy guidelines; the Treaty of Lisbon established the position of "permanent" (full-time) president of the European Council; leaders of the EU member states appoint the president for a 2 1/2 year term, renewable once; the president's responsibilities include chairing the EU summits and providing policy and organizational continuity; the current president is Donald TUSK (Poland), since 1 December 2014, succeeding Herman VAN ROMPUY (Belgian; 2009-14) |
| Executive branch: | the Council of the European Union: consists of ministers of each EU member state and meets regularly in 10 different configurations depending on the subject matter; it conducts policymaking and coordinating functions as well as legislative functions; ministers of EU member states chair meetings of the Council of the EU based on a 6-month rotating presidency except for the meetings of EU Foreign Ministers in the Foreign Affairs Council that are chaired by the High Representative for Foreign Affairs and Security Policy |
| Executive branch: | the European Commission: headed by a College of Commissioners comprised of 28 members (one from each member country) including the president; each commissioner is responsible for one or more policy areas; the Commission's main responsibilities include the sole right to initiate EU legislation (except for foreign and security/defense policy), promoting the general interest of the EU, acting as "guardian of the Treaties" by monitoring the application of EU law, implementing/executing the EU budget, managing programs, negotiating on the EU's behalf in core policy areas such as trade, and ensuring the Union's external representation in some policy areas; its current president is Jean-Claude JUNCKER (Luxembourg) elected on 15 July 2014 (took office on 1 November 2014); the president of the European Commission is nominated by the European Council and formally "elected" by the European Parliament; the Commission president allocates specific responsibilities among the members of the College (appointed by common accord of the member state governments in consultation with the president-elect); the European Parliament confirms the entire Commission for a 5-year term; President JUNCKER reorganized the structure of the College around clusters or project teams coordinated by 7 vice presidents in line with the current Commission's main political priorities and appointed Frans TIMMERMANS (Netherlands) to act as his first vice president; the confirmation process for the next Commission expected be held in the fall of 2019 |
